dir,name,lang,clean_median,clean_cv,ebpf_median,ebpf_cv
HAMi,HAMi,go,51.938,1.34,54.986,0.54
OpenFunction,OpenFunction,go,27.878,0.83,29.607,0.55
aeraki,Aeraki Mesh,go,141.761,3.76,154.556,0.15
antrea,Antrea,go,64.021,0.84,70.997,0.61
atlantis,atlantis,go,30.578,1.33,33.123,0.63
bank-vaults,Bank-Vaults,go,60.178,0.36,66.535,0.27
bfe,BFE,go,19.154,2.22,22.094,4.31
cadence,Cadence Workflow,go,140.327,0.56,155.236,0.89
capsule,Capsule,go,46.775,0.61,50.147,0.71
cartography,Cartography,python,9.575,6.73,11.757,5.00
cedar,Cedar,rust,78.752,1.33,89.847,2.59
cert-manager,cert-manager,go,318.082,0.28,327.287,0.44
chaos-mesh,ChaosMesh,go,63.447,1.22,69.220,0.88
cilium,cilium,go,268.007,0.44,280.563,1.82
cloud-custodian,cloud-custodian,python,7.264,4.59,11.528,14.36
cloudnative-pg,CloudNativePG,go,81.930,1.90,90.904,2.24
clusternet,Clusternet,go,68.209,2.28,71.643,0.53
clusterpedia,Clusterpedia,go,123.162,2.16,129.535,1.55
cni,CNI,go,9.745,1.64,10.143,0.91
container2wasm,container2wasm,go,14.233,3.28,14.668,1.33
containerd,containerd,go,49.188,0.56,50.675,2.87
containerssh,ContainerSSH,go,29.017,1.37,31.819,0.92
contour,contour,go,40.701,1.99,44.438,0.96
copacetic,copacetic,go,21.876,0.85,23.430,0.76
coredns,CoreDNS,go,44.699,0.98,50.184,1.12
cortex,Cortex,go,193.406,0.52,208.887,0.43
cri-o,cri-o,go,60.163,0.45,64.431,0.62
cubefs,cubefs,go,210.508,0.56,219.060,0.76
dex,Dex,go,51.070,0.69,53.062,0.32
distribution,Distribution,go,26.116,0.79,28.816,2.58
dragonfly,dragonfly,go,41.116,0.69,44.078,0.65
easegress,Easegress,go,65.083,0.64,71.604,0.55
emissary,emissary,go,41.110,0.69,44.842,0.63
eraser,Eraser,go,53.126,2.87,55.231,2.07
external-secrets,external-secrets,go,109.697,1.88,119.846,2.08
fluid,Fluid,go,382.703,0.91,373.726,0.47
flux2,flux2,go,51.461,1.78,54.509,1.91
headlamp,Headlamp,go,44.098,0.96,49.568,0.90
higress,Higress,go,91.926,5.69,108.186,2.29
hwameistor,HwameiStor,go,284.623,1.01,295.544,0.52
in-toto,in-toto,python,9.744,0.61,10.856,0.90
inspektor-gadget,Inspektor Gadget,go,44.149,0.80,48.432,1.35
interLink,Interlink,go,41.694,1.04,43.891,5.11
jaeger,Jaeger,go,136.329,0.66,147.604,0.47
k8gb,k8gb,go,65.604,8.64,70.044,0.78
k8sgpt,K8sGPT,go,60.743,0.79,67.447,0.63
k8up,K8up,go,75.755,1.66,79.986,4.66
kaito,Kaito,go,64.214,1.03,71.775,0.48
kanister,kanister,go,103.119,0.49,109.460,0.64
karmada,Karmada,go,124.998,0.78,130.223,1.78
kcl,kcl,rust,285.812,0.62,302.374,0.31
kcp,kcp,go,125.384,1.20,137.894,0.77
keda,Keda,go,200.249,0.99,216.707,0.76
kepler,kepler,go,39.565,1.17,41.702,0.35
keylime,keylime,python,11.303,1.08,12.716,0.66
kgateway,Kgateway,go,90.305,1.74,96.235,2.74
ko,ko,go,27.341,0.97,30.979,1.31
koordinator,koordinator,go,120.890,30.16,128.169,18.65
kpt,kpt,go,46.263,0.65,49.541,1.51
kruise,OpenKruise,go,125.069,1.61,135.802,1.48
kserve,KServe,go,249.150,2.05,267.708,1.25
kuadrant-operator,kuadrant,go,73.107,0.51,80.290,0.68
kube-burner,kube-burner,go,47.047,0.78,50.667,0.98
kube-ovn,kube-ovn,go,101.776,0.98,109.092,1.74
kube-vip,kube-vip,go,39.400,0.97,41.685,0.34
kubeclipper,KubeClipper,go,54.039,0.66,57.755,0.37
kubefleet,kubefleet,go,102.370,0.96,110.608,0.92
kubescape,Kubescape,go,104.906,1.04,117.180,0.93
kubestellar,kubestellar,go,38.605,0.87,41.585,0.77
kubevela,Kubevela,go,129.916,0.69,139.667,0.46
kudo,kudo,go,25.354,10.92,26.815,1.73
kuma,kuma,go,84.925,0.65,91.104,0.50
kusion,kusionStack,go,158.934,6.90,164.162,5.43
lima,Lima,go,156.388,0.34,155.341,0.26
logging-operator,Logging Operator,go,60.625,1.42,65.885,0.63
loxilb,LoxiLB,go,42.650,1.36,45.609,1.74
nats-server,NATS,go,20.831,1.80,21.903,3.28
notation,Notary Project,go,11.047,1.97,11.806,1.17
oauth2-proxy,OAuth2 Proxy,go,24.374,2.79,25.598,1.52
ocm,Open Cluster Management,go,87.546,2.52,96.964,2.17
openGemini,openGemini,go,99.029,0.54,101.381,0.74
openchoreo,OpenChoreo,go,83.971,0.68,88.164,1.26
opencost,Opencost,go,79.837,1.05,89.247,0.64
openfga,OpenFGA,go,42.990,0.75,46.307,0.75
openyurt,OpenYurt,go,73.961,0.82,77.461,0.55
operator-sdk,Operator Framework,go,50.004,13.27,56.143,1.47
pack,Buildpack,go,26.849,0.37,30.159,1.06
policy,Open Policy Containers,go,91.203,2.19,96.772,1.16
python-tuf,The Update Framework (TUF),python,9.815,105.61,10.886,1.27
thanos,Thanos,go,59.042,0.71,64.580,0.94
vitess,vitess,go,75.888,5.13,88.846,1.80
volcano,Volcano,go,116.940,1.25,121.298,1.12
wasmCloud,wasmcloud,rust,328.646,1.86,360.404,0.91
