dir,name,lang,n_clean,n_ebpf,clean_median_sec,clean_iqr,ebpf_median_sec,ebpf_iqr,ratio,delta_sec,cmdrun_sec,scaffold_sec,observed_files,observed_processes,attestation_bytes
cloud-custodian,cloud-custodian,python,5,5,7.264,0.537,11.528,3.395,1.5870,4.264,7.686,3.842,24569,244,8872124
cartography,Cartography,python,5,5,9.575,1.281,11.757,0.853,1.2279,2.182,10.640,1.117,21382,54,8897804
higress,Higress,go,5,5,91.926,10.508,108.186,4.099,1.1769,16.260,95.549,12.637,186409,6556,79260324
vitess,vitess,go,5,5,75.888,7.372,88.846,3.179,1.1708,12.958,82.819,6.027,112075,5402,52007000
bfe,BFE,go,5,5,19.154,0.799,22.094,1.848,1.1535,2.940,19.617,2.477,35915,2258,16730908
cedar,Cedar,rust,5,5,78.752,1.968,89.847,4.394,1.1409,11.095,87.919,1.928,18667,2445,11188812
ko,ko,go,5,5,27.341,0.453,30.979,0.630,1.1331,3.638,29.590,1.389,67530,3139,30632868
keylime,keylime,python,5,5,11.303,0.230,12.716,0.126,1.1250,1.413,11.929,0.787,6858,38,2651480
headlamp,Headlamp,go,5,5,44.098,0.730,49.568,0.877,1.1240,5.470,46.786,2.782,59907,4404,28531996
pack,Buildpack,go,5,5,26.849,0.175,30.159,0.584,1.1233,3.310,28.622,1.537,60655,2580,27662012
operator-sdk,Operator Framework,go,5,5,50.004,8.098,56.143,1.371,1.1228,6.139,52.845,3.298,73781,5705,35198480
coredns,CoreDNS,go,5,5,44.699,0.748,50.184,0.897,1.1227,5.485,48.550,1.634,83885,4334,39672380
opencost,Opencost,go,5,5,79.837,1.160,89.247,1.002,1.1179,9.410,86.205,3.042,155879,5060,75259956
kaito,Kaito,go,5,5,64.214,1.084,71.775,0.593,1.1177,7.561,68.796,2.979,74631,9382,58018928
kubescape,Kubescape,go,5,5,104.906,1.405,117.180,2.032,1.1170,12.274,113.585,3.595,214656,10770,92691760
in-toto,in-toto,python,5,5,9.744,0.098,10.856,0.194,1.1141,1.112,10.376,0.480,5530,38,1926068
k8sgpt,K8sGPT,go,5,5,60.743,0.805,67.447,0.747,1.1104,6.704,65.546,1.901,110282,5991,49555488
cloudnative-pg,CloudNativePG,go,5,5,81.930,2.829,90.904,3.359,1.1095,8.974,87.262,3.642,75746,11188,68940512
python-tuf,The Update Framework (TUF),python,5,5,9.815,21.974,10.886,0.260,1.1091,1.071,10.395,0.491,5564,38,1937412
antrea,Antrea,go,5,5,64.021,1.026,70.997,0.756,1.1090,6.976,68.718,2.279,66335,6591,33526384
ocm,Open Cluster Management,go,5,5,87.546,3.793,96.964,4.033,1.1076,9.418,91.481,5.483,39424,6638,77647972
cadence,Cadence Workflow,go,5,5,140.327,1.545,155.236,2.496,1.1062,14.909,151.196,4.040,107415,13826,112550560
bank-vaults,Bank-Vaults,go,5,5,60.178,0.388,66.535,0.322,1.1056,6.357,64.303,2.232,124124,5894,60136908
distribution,Distribution,go,5,5,26.116,0.312,28.816,1.371,1.1034,2.700,26.662,2.154,20195,3175,13593752
easegress,Easegress,go,5,5,65.083,0.688,71.604,0.646,1.1002,6.521,68.878,2.726,113822,6269,57582800
kcp,kcp,go,5,5,125.384,2.281,137.894,1.726,1.0998,12.510,133.783,4.111,100588,11876,63106808
kuadrant-operator,kuadrant,go,5,5,73.107,0.704,80.290,0.931,1.0983,7.183,77.531,2.759,93305,10526,61995056
inspektor-gadget,Inspektor Gadget,go,5,5,44.149,0.577,48.432,1.203,1.0970,4.283,46.834,1.598,67403,5017,29744680
wasmCloud,wasmcloud,rust,5,5,328.646,9.409,360.404,6.482,1.0966,31.758,353.621,6.783,44050,7483,38324996
containerssh,ContainerSSH,go,5,5,29.017,0.565,31.819,0.431,1.0966,2.802,30.766,1.053,40624,3255,18115444
thanos,Thanos,go,5,5,59.042,0.761,64.580,0.849,1.0938,5.538,61.364,3.216,117119,4805,70400092
external-secrets,external-secrets,go,5,5,109.697,4.090,119.846,4.412,1.0925,10.149,115.398,4.448,180954,9457,96809492
contour,contour,go,5,5,40.701,1.470,44.438,0.733,1.0918,3.737,42.365,2.073,36494,3511,17795476
chaos-mesh,ChaosMesh,go,5,5,63.447,1.179,69.220,1.192,1.0910,5.773,67.381,1.839,88641,5186,41609648
emissary,emissary,go,5,5,41.110,0.558,44.842,0.543,1.0908,3.732,43.376,1.466,51163,4042,24211136
aeraki,Aeraki Mesh,go,5,5,141.761,6.299,154.556,0.416,1.0903,12.795,151.802,2.754,100061,22929,70916056
logging-operator,Logging Operator,go,5,5,60.625,1.595,65.885,0.716,1.0868,5.260,63.575,2.310,93461,8199,59060284
kruise,OpenKruise,go,5,5,125.069,3.844,135.802,3.768,1.0858,10.733,132.060,3.742,114474,14576,101428748
atlantis,atlantis,go,5,5,30.578,0.800,33.123,0.339,1.0832,2.545,31.693,1.430,42049,2456,20986936
jaeger,Jaeger,go,5,5,136.329,1.770,147.604,1.272,1.0827,11.275,142.594,5.010,102533,15015,83180548
keda,Keda,go,5,5,200.249,3.797,216.707,3.172,1.0822,16.458,211.781,4.926,160223,23924,132948668
kubefleet,kubefleet,go,5,5,102.370,1.799,110.608,1.904,1.0805,8.238,107.954,2.654,85619,11757,65023380
cortex,Cortex,go,5,5,193.406,1.995,208.887,1.363,1.0800,15.481,203.883,5.004,83779,21850,91838012
kubestellar,kubestellar,go,5,5,38.605,0.647,41.585,0.627,1.0772,2.980,40.022,1.563,37072,3774,18093948
openfga,OpenFGA,go,5,5,42.990,0.531,46.307,0.607,1.0772,3.317,44.904,1.403,48276,4227,23786356
kube-burner,kube-burner,go,5,5,47.047,0.596,50.667,0.904,1.0769,3.620,49.334,1.333,59317,4210,26360496
kubevela,Kubevela,go,5,5,129.916,1.556,139.667,0.948,1.0751,9.751,136.570,3.097,118639,14312,71256892
kserve,KServe,go,5,5,249.150,9.794,267.708,6.162,1.0745,18.558,256.445,11.263,306004,30093,255164936
kuma,kuma,go,5,5,84.925,1.075,91.104,0.860,1.0728,6.179,88.038,3.066,68355,7381,52732428
capsule,Capsule,go,5,5,46.775,0.556,50.147,0.650,1.0721,3.372,48.734,1.413,46688,4648,22655820
dragonfly,dragonfly,go,5,5,41.116,0.488,44.078,0.440,1.0720,2.962,42.318,1.760,65007,3567,26592472
kube-ovn,kube-ovn,go,5,5,101.776,1.913,109.092,3.549,1.0719,7.316,106.131,2.961,118425,8013,64104080
copacetic,copacetic,go,5,5,21.876,0.363,23.430,0.339,1.0710,1.554,22.313,1.117,40988,2329,15959432
cri-o,cri-o,go,5,5,60.163,0.447,64.431,0.786,1.0709,4.268,60.952,3.479,26287,4056,17528508
kpt,kpt,go,5,5,46.263,0.491,49.541,1.314,1.0709,3.278,47.756,1.785,40483,4267,21276028
loxilb,LoxiLB,go,5,5,42.650,0.942,45.609,1.200,1.0694,2.959,43.370,2.239,36319,3073,17484760
kubeclipper,KubeClipper,go,5,5,54.039,0.667,57.755,0.403,1.0688,3.716,55.982,1.773,57329,5203,32291020
notation,Notary Project,go,5,5,11.047,0.406,11.806,0.266,1.0687,0.759,11.161,0.645,11290,1386,5284876
k8gb,k8gb,go,5,5,65.604,7.474,70.044,0.829,1.0677,4.440,67.548,2.496,103557,6959,62739640
kgateway,Kgateway,go,5,5,90.305,2.915,96.235,5.122,1.0657,5.930,93.778,2.457,80786,6725,44651984
OpenFunction,OpenFunction,go,5,5,27.878,0.380,29.607,0.311,1.0620,1.729,28.568,1.039,33541,2824,15335876
kanister,kanister,go,5,5,103.119,0.945,109.460,1.326,1.0615,6.341,107.028,2.432,99774,6029,54743432
policy,Open Policy Containers,go,5,5,91.203,3.650,96.772,2.149,1.0611,5.569,94.345,2.427,63646,10652,49620100
koordinator,koordinator,go,5,5,120.890,48.312,128.169,31.973,1.0602,7.279,124.553,3.616,98700,8979,65016260
flux2,flux2,go,5,5,51.461,1.705,54.509,1.952,1.0592,3.048,52.957,1.552,59523,5082,27632148
HAMi,HAMi,go,5,5,51.938,0.980,54.986,0.583,1.0587,3.048,53.526,1.460,42641,3986,27097388
kube-vip,kube-vip,go,5,5,39.400,0.710,41.685,0.231,1.0580,2.285,40.721,0.964,33555,3592,16574728
kcl,kcl,rust,5,5,285.812,3.385,302.374,1.514,1.0579,16.562,297.982,4.392,26540,3328,20083828
kudo,kudo,go,5,5,25.354,3.786,26.815,0.683,1.0576,1.461,25.710,1.105,28047,2562,12459260
k8up,K8up,go,5,5,75.755,2.002,79.986,4.439,1.0559,4.231,77.899,2.087,45036,9070,52377848
kepler,kepler,go,5,5,39.565,0.724,41.702,0.262,1.0540,2.137,40.613,1.089,30514,3373,15874740
interLink,Interlink,go,5,5,41.694,0.679,43.891,3.395,1.0527,2.197,42.336,1.555,34163,3379,18959200
clusterpedia,Clusterpedia,go,5,5,123.162,4.964,129.535,3.770,1.0517,6.373,125.256,4.279,55819,7730,64589964
nats-server,NATS,go,5,5,20.831,0.680,21.903,1.044,1.0515,1.072,21.010,0.893,17901,976,7679152
clusternet,Clusternet,go,5,5,68.209,2.172,71.643,0.657,1.0503,3.434,69.825,1.818,47633,5650,31148880
oauth2-proxy,OAuth2 Proxy,go,5,5,24.374,1.218,25.598,0.759,1.0502,1.224,24.785,0.813,23690,1835,10153200
openchoreo,OpenChoreo,go,5,5,83.971,1.051,88.164,1.858,1.0499,4.193,85.050,3.114,65437,5109,43419028
openyurt,OpenYurt,go,5,5,73.961,1.101,77.461,0.683,1.0473,3.500,75.190,2.271,59359,5677,38291384
