project_name,lang,build_command,github_url,rep,arm,duration_sec
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,1,clean,153.706
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,1,ebpf,154.691
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,2,clean,141.459
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,2,ebpf,154.356
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,3,clean,141.785
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,3,ebpf,154.556
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,4,clean,141.761
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,4,ebpf,154.441
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,5,clean,141.433
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,5,ebpf,154.939
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,6,clean,141.505
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,6,ebpf,154.857
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,7,clean,143.208
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,7,ebpf,155.094
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,8,clean,141.765
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,8,ebpf,155.214
Antrea,go,make bin,https://github.com/antrea-io/antrea,1,clean,64.859
Antrea,go,make bin,https://github.com/antrea-io/antrea,1,ebpf,71.182
Antrea,go,make bin,https://github.com/antrea-io/antrea,2,clean,63.942
Antrea,go,make bin,https://github.com/antrea-io/antrea,2,ebpf,70.997
Antrea,go,make bin,https://github.com/antrea-io/antrea,3,clean,63.808
Antrea,go,make bin,https://github.com/antrea-io/antrea,3,ebpf,70.444
Antrea,go,make bin,https://github.com/antrea-io/antrea,4,clean,64.021
Antrea,go,make bin,https://github.com/antrea-io/antrea,4,ebpf,71.609
Antrea,go,make bin,https://github.com/antrea-io/antrea,5,clean,64.944
Antrea,go,make bin,https://github.com/antrea-io/antrea,5,ebpf,70.834
Antrea,go,make bin,https://github.com/antrea-io/antrea,6,clean,64.495
Antrea,go,make bin,https://github.com/antrea-io/antrea,6,ebpf,71.089
Antrea,go,make bin,https://github.com/antrea-io/antrea,7,clean,64.402
Antrea,go,make bin,https://github.com/antrea-io/antrea,7,ebpf,70.954
Antrea,go,make bin,https://github.com/antrea-io/antrea,8,clean,63.502
Antrea,go,make bin,https://github.com/antrea-io/antrea,8,ebpf,70.399
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,1,clean,31.102
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,1,ebpf,33.216
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,2,clean,30.197
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,2,ebpf,32.904
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,3,clean,30.578
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,3,ebpf,33.116
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,4,clean,30.186
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,4,ebpf,33.123
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,5,clean,30.880
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,5,ebpf,33.482
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,6,clean,30.180
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,6,ebpf,33.119
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,7,clean,30.134
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,7,ebpf,33.005
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,8,clean,30.086
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,8,ebpf,33.369
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,1,clean,60.061
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,1,ebpf,66.511
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,2,clean,60.291
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,2,ebpf,66.535
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,3,clean,60.567
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,3,ebpf,66.773
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,4,clean,60.021
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,4,ebpf,66.304
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,5,clean,60.178
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,5,ebpf,66.686
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,6,clean,60.994
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,6,ebpf,66.771
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,7,clean,60.268
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,7,ebpf,66.750
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,8,clean,60.222
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,8,ebpf,66.678
BFE,go,make build,https://github.com/bfenetworks/bfe,1,clean,19.417
BFE,go,make build,https://github.com/bfenetworks/bfe,1,ebpf,22.094
BFE,go,make build,https://github.com/bfenetworks/bfe,2,clean,18.466
BFE,go,make build,https://github.com/bfenetworks/bfe,2,ebpf,21.924
BFE,go,make build,https://github.com/bfenetworks/bfe,3,clean,19.217
BFE,go,make build,https://github.com/bfenetworks/bfe,3,ebpf,21.540
BFE,go,make build,https://github.com/bfenetworks/bfe,4,clean,18.570
BFE,go,make build,https://github.com/bfenetworks/bfe,4,ebpf,23.441
BFE,go,make build,https://github.com/bfenetworks/bfe,5,clean,19.154
BFE,go,make build,https://github.com/bfenetworks/bfe,5,ebpf,23.719
BFE,go,make build,https://github.com/bfenetworks/bfe,6,clean,18.724
BFE,go,make build,https://github.com/bfenetworks/bfe,6,ebpf,22.025
BFE,go,make build,https://github.com/bfenetworks/bfe,7,clean,19.360
BFE,go,make build,https://github.com/bfenetworks/bfe,7,ebpf,23.242
BFE,go,make build,https://github.com/bfenetworks/bfe,8,clean,18.774
BFE,go,make build,https://github.com/bfenetworks/bfe,8,ebpf,22.618
Buildpack,go,make build,https://github.com/buildpacks/pack,1,clean,26.849
Buildpack,go,make build,https://github.com/buildpacks/pack,1,ebpf,30.153
Buildpack,go,make build,https://github.com/buildpacks/pack,2,clean,26.708
Buildpack,go,make build,https://github.com/buildpacks/pack,2,ebpf,30.529
Buildpack,go,make build,https://github.com/buildpacks/pack,3,clean,26.907
Buildpack,go,make build,https://github.com/buildpacks/pack,3,ebpf,29.962
Buildpack,go,make build,https://github.com/buildpacks/pack,4,clean,26.824
Buildpack,go,make build,https://github.com/buildpacks/pack,4,ebpf,30.754
Buildpack,go,make build,https://github.com/buildpacks/pack,5,clean,26.974
Buildpack,go,make build,https://github.com/buildpacks/pack,5,ebpf,30.159
Buildpack,go,make build,https://github.com/buildpacks/pack,6,clean,26.587
Buildpack,go,make build,https://github.com/buildpacks/pack,6,ebpf,29.833
Buildpack,go,make build,https://github.com/buildpacks/pack,7,clean,26.413
Buildpack,go,make build,https://github.com/buildpacks/pack,7,ebpf,29.582
Buildpack,go,make build,https://github.com/buildpacks/pack,8,clean,26.643
Buildpack,go,make build,https://github.com/buildpacks/pack,8,ebpf,30.235
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,1,clean,141.073
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,1,ebpf,153.134
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,2,clean,139.475
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,2,ebpf,156.450
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,3,clean,139.800
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,3,ebpf,155.236
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,4,clean,140.327
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,4,ebpf,156.511
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,5,clean,141.292
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,5,ebpf,154.835
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,6,clean,137.634
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,6,ebpf,155.677
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,7,clean,140.003
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,7,ebpf,154.084
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,8,clean,139.493
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,8,ebpf,155.348
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,1,clean,47.065
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,1,ebpf,50.172
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,2,clean,46.557
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,2,ebpf,49.445
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,3,clean,46.393
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,3,ebpf,50.214
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,4,clean,46.998
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,4,ebpf,49.640
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,5,clean,46.775
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,5,ebpf,50.147
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,6,clean,46.535
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,6,ebpf,50.138
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,7,clean,46.083
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,7,ebpf,50.071
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,8,clean,46.564
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,8,ebpf,50.048
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,1,clean,10.670
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,1,ebpf,11.727
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,2,clean,9.326
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,2,ebpf,11.934
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,3,clean,9.575
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,3,ebpf,11.546
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,4,clean,9.261
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,4,ebpf,13.046
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,5,clean,10.479
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,5,ebpf,11.757
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,6,clean,9.279
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,6,ebpf,12.134
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,7,clean,10.611
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,7,ebpf,11.597
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,8,clean,9.238
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,8,ebpf,12.573
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,1,clean,79.038
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,1,ebpf,89.847
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,2,clean,77.607
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,2,ebpf,87.049
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,3,clean,77.003
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,3,ebpf,86.121
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,4,clean,78.752
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,4,ebpf,91.515
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,5,clean,79.507
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,5,ebpf,90.443
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,6,clean,77.582
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,6,ebpf,87.135
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,7,clean,76.812
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,7,ebpf,85.874
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,8,clean,77.066
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,8,ebpf,86.030
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,1,clean,318.082
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,1,ebpf,327.860
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,2,clean,316.273
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,2,ebpf,327.190
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,3,clean,318.344
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,3,ebpf,326.477
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,4,clean,317.294
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,4,ebpf,330.273
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,5,clean,318.410
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,5,ebpf,327.287
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,6,clean,315.256
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,6,ebpf,328.187
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,7,clean,316.937
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,7,ebpf,325.879
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,8,clean,326.398
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,8,ebpf,387.317
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,1,clean,63.447
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,1,ebpf,68.428
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,2,clean,62.293
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,2,ebpf,69.220
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,3,clean,63.276
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,3,ebpf,69.826
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,4,clean,64.473
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,4,ebpf,68.590
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,5,clean,63.454
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,5,ebpf,69.576
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,6,clean,63.108
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,6,ebpf,68.782
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,7,clean,62.967
