project_name,lang,build_command,github_url,clean_rep1,clean_rep2,clean_rep3,clean_rep4,clean_rep5,clean_rep6,clean_rep7,clean_rep8,clean_median,ebpf_rep1,ebpf_rep2,ebpf_rep3,ebpf_rep4,ebpf_rep5,ebpf_rep6,ebpf_rep7,ebpf_rep8,ebpf_median,ratio,delta_sec
Aeraki Mesh,go,make build,https://github.com/aeraki-mesh/aeraki,153.706,141.459,141.785,141.761,141.433,141.505,143.208,141.765,141.763,154.691,154.356,154.556,154.441,154.939,154.857,155.094,155.214,154.774,1.0918,13.011
Antrea,go,make bin,https://github.com/antrea-io/antrea,64.859,63.942,63.808,64.021,64.944,64.495,64.402,63.502,64.212,71.182,70.997,70.444,71.609,70.834,71.089,70.954,70.399,70.975,1.1053,6.764
atlantis,go,make build-service,https://github.com/runatlantis/atlantis,31.102,30.197,30.578,30.186,30.880,30.180,30.134,30.086,30.191,33.216,32.904,33.116,33.123,33.482,33.119,33.005,33.369,33.121,1.0970,2.929
Bank-Vaults,go,make build,https://github.com/bank-vaults/bank-vaults,60.061,60.291,60.567,60.021,60.178,60.994,60.268,60.222,60.245,66.511,66.535,66.773,66.304,66.686,66.771,66.750,66.678,66.682,1.1068,6.437
BFE,go,make build,https://github.com/bfenetworks/bfe,19.417,18.466,19.217,18.570,19.154,18.724,19.360,18.774,18.964,22.094,21.924,21.540,23.441,23.719,22.025,23.242,22.618,22.356,1.1789,3.392
Buildpack,go,make build,https://github.com/buildpacks/pack,26.849,26.708,26.907,26.824,26.974,26.587,26.413,26.643,26.766,30.153,30.529,29.962,30.754,30.159,29.833,29.582,30.235,30.156,1.1267,3.390
Cadence Workflow,go,make build,https://github.com/cadence-workflow/cadence,141.073,139.475,139.800,140.327,141.292,137.634,140.003,139.493,139.901,153.134,156.450,155.236,156.511,154.835,155.677,154.084,155.348,155.292,1.1100,15.391
Capsule,go,go build -o bin/manager ./cmd/controller/,https://github.com/projectcapsule/capsule,47.065,46.557,46.393,46.998,46.775,46.535,46.083,46.564,46.561,50.172,49.445,50.214,49.640,50.147,50.138,50.071,50.048,50.105,1.0761,3.544
Cartography,python,uv build,https://github.com/cartography-cncf/cartography,10.670,9.326,9.575,9.261,10.479,9.279,10.611,9.238,9.450,11.727,11.934,11.546,13.046,11.757,12.134,11.597,12.573,11.845,1.2534,2.395
Cedar,rust,cargo build --release --all-features,https://github.com/cedar-policy/cedar,79.038,77.607,77.003,78.752,79.507,77.582,76.812,77.066,77.594,89.847,87.049,86.121,91.515,90.443,87.135,85.874,86.030,87.092,1.1224,9.498
cert-manager,go,make server-binaries,https://github.com/cert-manager/cert-manager,318.082,316.273,318.344,317.294,318.410,315.256,316.937,326.398,317.688,327.860,327.190,326.477,330.273,327.287,328.187,325.879,387.317,327.573,1.0311,9.885
ChaosMesh,go,make local/chaos-controller-manager,https://github.com/chaos-mesh/chaos-mesh,63.447,62.293,63.276,64.473,63.454,63.108,62.967,62.901,63.192,68.428,69.220,69.826,68.590,69.576,68.782,67.435,69.533,69.001,1.0919,5.809
cilium,go,make build,https://github.com/cilium/cilium,265.726,268.218,266.788,268.007,268.550,264.357,262.197,263.754,266.257,282.442,277.492,278.008,290.187,280.563,275.121,278.285,278.413,278.349,1.0454,12.092
